Assembly Accession,Assembly Name,Organism Name,Organism Taxonomic ID,Organism Infraspecific Names Breed,Organism Infraspecific Names Strain,Organism Infraspecific Names Cultivar,Organism Infraspecific Names Ecotype,Organism Infraspecific Names Isolate,Organism Infraspecific Names Sex,Annotation Name,Assembly Stats Total Sequence Length,Assembly Stats Total Number of Chromosomes,Assembly Level,Assembly Release Date,WGS project accession,Assembly Stats Number of Scaffolds
GCA_039519135.1,ASM3951913v1,Kokia kauaiensis,47620,,,,,WAI 19s9,,,555992597,12,Chromosome,5/7/24,JBBHDW01,910
GCA_023065735.1,IRD_Cohum_1.0,Coffea humblotiana,59211,,,,Mayotte,BM19/20,,,418074721,11,Chromosome,4/22/22,JACYVW01,337
GCA_030789695.1,AKTIVAN_assembly,Scilla litardierei,82011,,CROMET1-2023,,seashore ecotype individual,,,,3696589761,13,Chromosome,8/21/23,JAULAV01,9864
GCA_014182585.1,ASM1418258v1,Eucalyptus coolabah,881201,,,,,ANBG9404868.100,,,606305321,11,Chromosome,8/14/20,JABKBN01,31
GCA_024085815.1,ASM2408581v1,Flaveria linearis,4225,,,,,s2018M-1,,,1654553644,18,Chromosome,7/6/22,JABSNV01,1400
GCA_036346375.1,KIB_Gang_2,Guadua angustifolia,323898,,,,,GZH04,,,1544625741,23,Chromosome,2/2/24,JAYEVE01,2068
GCA_025583645.1,ASM2558364v1,Gossypium ekmanianum,1641373,,,AD6,,,,,2341873899,26,Chromosome,10/6/22,JAHRBX01,160
GCA_040113135.1,ASM4011313v1,Mimulus sookensis,1256261,,,,,FAN36,hermaphrodite,,572889410,28,Chromosome,6/12/24,JBDLPN01,122
GCA_964058905.1,lpEleQuin1.1,Eleocharis quinqueflora,46325,,,,,,,,497056880,67,Chromosome,6/5/24,CAXKVU01,101
GCA_018691285.1,UNAM_Csor_1.0,Cucurbita argyrosperma subsp. sororia,37648,,,,,JBR-2021,,"Annotation submitted by Instituto de Ecologia, UNAM",255122959,20,Chromosome,6/3/21,JAGKQH01,69
GCA_025506505.1,ASM2550650v1,Flaveria sonorensis,343904,,,,,c2018M-1,,,1242098486,18,Chromosome,10/2/22,JACCIY01,1793
GCA_014182565.1,ASM1418256v1,Eucalyptus marginata,183836,,,,,ANBG9806545,,,512893265,11,Chromosome,8/14/20,JABKBI01,67
GCA_963924305.1,dcPolMari1.1,Polygonum maritimum,512629,,,,,,,,428639199,10,Chromosome,1/22/24,CAWUPK01,20
GCA_016097615.1,ASM1609761v1,Eucalyptus dawsonii,1711249,,,,,CCA0689,,,706900568,11,Chromosome,12/17/20,JADPVV01,219
GCA_021605205.1,ASM2160520v1,Aegilops longissima,4486,,,,,TL01,,,5796085646,7,Chromosome,1/26/22,JAHIAM01,21779
GCA_039583875.1,PGUA_v1.0,Platanthera guangdongensis,2320717,,,,,Lor288,,Annotation submitted by Fujian Agriculture and Forestry University,4245568817,21,Chromosome,5/16/24,JBBWWR01,274
GCA_028583415.1,ASM2858341v1,Protea cynaroides,273540,,,Little Prince,,,,Annotation submitted by University of Pretoria,1225359862,12,Chromosome,2/10/23,JAMYWD01,3600
GCA_025215565.1,ASM2521556v1,Flaveria ramosissima,41578,,,,,s2016G-1,,,1301745180,18,Chromosome,9/16/22,JACVEC01,385
GCA_029204225.1,Diphasiastrum complanatum v3.1,Diphasiastrum complanatum,34168,,,PW_Plant_1,,,,Annotation submitted by DOE Joint Genome Institute,1744989973,24,Chromosome,3/21/23,JAQGDR01,8441
GCA_026229545.1,Patl_V1,Pistacia atlantica,434234,,,,,c2T10,female,Annotation submitted by UC Davis Genome Center,505281571,15,Chromosome,11/18/22,JAPEIT01,113
GCA_014182385.1,ASM1418238v1,Eucalyptus viminalis,155764,,,,,sf001,,,558707134,11,Chromosome,8/14/20,JABKBD01,57
GCA_022036555.1,ASM2203655v1,Microstegium vimineum,91518,,,,,,,,1118670587,23,Chromosome,2/10/22,JAJDON01,460
GCA_024034495.1,ASM2403449v1,Camelina laxa,359823,,,,,DAO 902768,,,212920349,6,Chromosome,6/29/22,JALLKC01,338
GCA_040183295.1,ASM4018329v1,Rubus argutus,59490,,,Hillquist,,PI 553951,,Annotation submitted by North Carolina State University,298237095,7,Chromosome,6/14/24,JBEDUW01,350
GCA_036172215.1,CUHK_Cgra_2.1,Camellia granthamiana,182298,,,,,HF-2023,,,2412426843,15,Chromosome,1/26/24,JAXFYN01,1680
GCA_022432975.1,ASM2243297v1,Begonia masoniana,198562,,,,,FLGS-2017-002,,,799686545,15,Chromosome,3/1/22,JAJTVD01,876
GCA_028015245.1,CEMPS_Cocculta_1.0,Cardamine occulta,2054765,,,,Yunnan,ZGX-2022,,,683238663,32,Chromosome,1/26/23,JANFAJ01,34
GCA_003313485.2,Pbar.2022.LG,Penstemon barbatus,160364,,,,,CAW14,,,592077615,8,Chromosome,10/17/23,QOIQ02,11
GCA_024500145.1,ASM2450014v1,Gentiana dahurica var. dahurica,553044,,,,,GD1997,,,1416543111,13,Chromosome,8/3/22,JAMYXJ01,2718
GCA_963971425.1,cbBryCale10.1,Bryoerythrophyllum caledonicum,1988022,,,,,,,,437454196,13,Chromosome,3/6/24,CAXARX01,1008
GCA_007115665.2,SEGI.2.0,Sequoiadendron giganteum,99814,,,,,SEGI21,,,8124394480,11,Chromosome,2/7/20,VCHN02,8196
GCA_026212405.1,ASM2621240v1,Petrea volubilis,41233,,,,,UF-2016,,,480227434,17,Chromosome,11/18/22,JAOWBU01,1095
GCA_025413025.1,ASM2541302v1,Ficus hispida,462830,,,,Xishuangbanna,FhF3_1,,,369753424,14,Chromosome,9/28/22,JAINRH01,394
GCA_022433065.1,ASM2243306v1,Begonia loranthoides,200023,,,,,FLGS-2017-001,,,671671851,19,Chromosome,3/1/22,JAJTVF01,8624
GCA_019804595.1,ASM1980459v1,Bruguiera parviflora,106618,,,,,BP_RN,,,210391494,18,Chromosome,8/31/21,JAFFZT01,10404
GCA_003063285.2,ASM306328v2,Arachis monticola,227691,,,,,PI 263393,,,2618653824,20,Chromosome,4/27/18,QBTX01,6909
GCA_029168755.2,TFas_v1.1,Tillandsia fasciculata,220113,,,,,MHJB-B1840,hermaphrodite,,837574979,25,Chromosome,3/14/23,JAQOTM01,2320
GCA_022433055.1,ASM2243305v1,Begonia peltatifolia,1406276,,,,,FLGS-2017-004,,,309996912,15,Chromosome,3/1/22,JAJTVC01,3889
GCA_029204045.2,TLei_v1.1,Tillandsia leiboldiana,1842917,,,,,MHJB-B1842,hermaphrodite,,1180439016,26,Chromosome,3/14/23,JAQNDB01,8648
GCA_012295235.1,ASM1229523v1,Primulina huaijiensis,1492673,,,,,GDHJ02,,,469801272,18,Chromosome,4/15/20,JAARMK01,21515
GCA_001484125.2,MPIPZ_Amontbretiana_3.1,Arabis montbretiana,746018,,,,,,,,257630540,8,Chromosome,10/4/21,LNCH02,2506
GCA_027562315.1,ASM2756231v1,Costus pulverulentus,160685,,,,,151,,,735858963,9,Chromosome,1/9/23,JANTFE01,23271
GCA_036630335.1,Phyfe_v1,Physaria fendleri,63442,,,,WCL-YS1 (PI 610492),,,,272470446,6,Chromosome,2/16/24,DAVZGE01,9891
GCA_013677275.1,ASM1367727v1,Gossypium schwendimanii,34291,,,,,1,,Annotation submitted by Mississippi State University,729428757,13,Chromosome,9/3/20,JABFAF01,332957
GCA_013467495.1,ASM1346749v1,Gossypium gossypioides,34282,,,,,5,,Annotation submitted by Mississippi State University,664724314,13,Chromosome,9/3/20,JABEZY01,344899
GCA_013467465.1,ASM1346746v1,Gossypium trilobum,34281,,,,,8,,Annotation submitted by Mississippi State University,655376848,13,Chromosome,9/3/20,JABEZW01,290398
GCA_013467485.1,ASM1346748v1,Gossypium lobatum,34289,,,,,157,,Annotation submitted by Mississippi State University,744535494,13,Chromosome,9/3/20,JABEZX01,380358
GCA_013487665.1,ASM1348766v1,Gossypium aridum,34290,,,,,185,,Annotation submitted by Mississippi State University,739119247,13,Chromosome,9/3/20,JABFAA01,382310
GCA_013511315.1,ASM1351131v1,Gossypium laxum,34288,,,,,4,,Annotation submitted by Mississippi State University,833895178,13,Chromosome,9/3/20,JABEZV01,470382
GCA_013677265.1,ASM1367726v1,Gossypium armourianum,34283,,,,,6,,Annotation submitted by Mississippi State University,780950899,13,Chromosome,9/3/20,JABFAE01,446787
GCF_000150535.2,Papaya1.0,Carica papaya,3649,,,SunUp,,,,NCBI Carica papaya Annotation Release 100,369781828,9,Scaffold,5/6/08,ABIM01,17764
GCA_030159175.1,Glur_r1.0,Glycyrrhiza uralensis,74613,,,Kyoto,,,,,459214121,8,Scaffold,1/30/23,BRZY01,89
GCA_026008535.1,Pfru_yukari_1.0,Perilla frutescens,48386,,,Hoko-3,,,,,1258994547,20,Scaffold,9/22/22,BRKX01,71
GCA_008326285.1,Oryza_officinalis_v1.0,Oryza officinalis,4535,,W0002,,,,,,584134210,12,Scaffold,8/23/19,BDMV01,91
GCA_030159115.1,AAR_r2.2,Actinidia arguta var. hypoleuca,1837144,,,,,Ubaishi-male,,,645140608,29,Scaffold,3/16/23,BRYE01,30
GCA_037176725.1,Posidonia oceanica var. Po_2 version 1.0,Posidonia oceanica,55489,,,Po_2,,,,,2962985811,10,Scaffold,3/14/24,JAZBRS01,81
GCA_016586305.1,Opu_r1.4,Ophiorrhiza pumila,157934,,,,,,,,440094828,11,Scaffold,12/9/20,BLIW01,12
GCA_037157565.1,Thalassia testudinium var. Tt-101 main haplotype version 1.0,Thalassia testudinum,55497,,,Tt-101,,,,,4261934351,3,Scaffold,3/13/24,JAZHRO01,240
GCA_030161315.1,Ej_v1.1.2_hap1,Eutrema japonicum,75806,,,Mazuma,,,,,746491570,14,Scaffold,3/10/23,BSQW01,14
GCA_001662345.2,Mpo_2.0,Metrosideros polymorpha var. glaberrima,101978,,,,,,,,283650112,11,Scaffold,10/1/19,BCNH02,11
GCA_030159155.1,ARU_r1.0,Actinidia rufa,165716,,,,,Nakamura-B-male,,,620324227,29,Scaffold,3/16/23,BRYG01,29
GCA_030159135.1,APO_r1.1,Actinidia polygama,64480,,,,,Hokkaido-male,,,620382890,29,Scaffold,3/16/23,BRYF01,30
GCA_037127165.1,AANG_UGA4,Alloteropsis angusta,486853,,,,,AANG4-8,,,1535690757,9,Scaffold,3/13/24,JAZFNS01,85819
GCF_000715135.1,Ntab-TN90,Nicotiana tabacum,4097,,,TN90,,,,NCBI Nicotiana tabacum Annotation Release 100,3642884816,,Scaffold,5/29/14,AYMY01,168245
GCF_000226075.1,SolTub_3.0,Solanum tuberosum,4113,,,DM 1-3 516 R44,,,,NCBI Solanum tuberosum Annotation Release 101,705779115,,Scaffold,9/19/11,AEWC01,14853
GCF_004153795.1,AHAU_CSS_1,Camellia sinensis,4442,,,Shuchazao,,,,NCBI Camellia sinensis Annotation Release 100,3105212962,,Scaffold,2/11/19,SDRB01,14027
GCA_004153795.2,AHAU_CSS_2,Camellia sinensis var. sinensis,542762,,,Shuchazao,,,,Annotation submitted by Anhui Agricultural University,2863254423,,Scaffold,4/21/19,SDRB02,13892
GCA_038087645.1,Saccharum officinarum X spontaneum var R570 v2.1,Saccharum hybrid cultivar R570,131158,,,R570,,,,,5038506984,,Contig,3/22/23,JAQSUU01,
GCA_030674075.2,EIMB_LUsi_3896_2.0,Linum usitatissimum,4006,,,line 3896,,,,,434159430,,Contig,10/16/23,JAUJYP02,
GCA_000787875.1,SME_r2.5.1,Solanum virginianum,223891,,,,,,,,833080760,,Scaffold,9/30/14,BAUE01,33873
GCF_014843425.1,RJC1_Hi-C,Jatropha curcas,180498,,,,,ELGS0001-1231,,NCBI Jatropha curcas Annotation Release 102,266800151,,Scaffold,10/5/20,JACVEQ01,1231
GCA_016587475.1,PPY_r1.0,Pyrus pyrifolia,3767,,,Nijisseiki,,,,,503888133,,Contig,12/23/20,BNSU01,
GCF_002207925.1,PAV_r1.0,Prunus avium,42229,,,Satonishiki,,,,NCBI Prunus avium Annotation Release 100,272361615,,Scaffold,6/12/17,BDGV01,10148
GCF_001683475.1,ASM168347v1,Chenopodium quinoa,63459,,,QQ74,,,,NCBI Chenopodium quinoa Annotation Release 100,1333398936,,Scaffold,5/19/17,LPWI01,3486
GCA_028651295.1,ASM2865129v1,Catharanthus roseus,4058,,,Sunstorm Apricot,,FGT_2020_1,,,581453994,,Scaffold,2/14/23,JAPQWS01,173
GCA_900067695.1,Pabies01,Picea abies,3329,,,,,,,,11961396284,,Scaffold,11/9/16,CBVK01,11340369
GCA_014504835.1,ASM1450483v1,Vaccinium corymbosum,69266,,,W8520,,,,,393128050,,Scaffold,9/9/20,JACAOB01,13755
GCA_037355625.1,ASM3735562v1,Petunia x hybrida,4102,,,,,RL-2024a,,,1411279658,,Scaffold,3/19/24,JBBBVM01,1225
GCA_024626585.1,ASM2462658v1,Ginkgo biloba,3311,,,,,IRGN 6FRKPULKRB,,,2638059399,,Scaffold,8/10/22,JANKJI01,265987
GCF_019419815.1,Pyrus_bretschneideri_v1,Pyrus x bretschneideri,225117,,,Hongxiangsu,,,,NCBI Pyrus x bretschneideri Annotation Release 102,509113298,,Contig,7/30/21,VZDI01,
GCA_900078215.1,Ahal2.2,Arabidopsis halleri subsp. gemmifera,63677,,,,Tada mine,W302,,,196243198,,Scaffold,9/29/16,FJVB01,2239
GCF_000365185.1,Chinese Lotus 1.1,Nelumbo nucifera,4432,,,,,,,NCBI Nelumbo nucifera Annotation Release 101,804484421,,Scaffold,8/8/13,AQOG01,3602
GCA_036245055.1,ASM3624505v1,Diospyros kaki,35925,,,Taishu,,,,,708766281,,Contig,10/17/23,BSEG01,
GCF_000004255.2,v.1.0,Arabidopsis lyrata subsp. lyrata,81972,,,,,,,NCBI Arabidopsis lyrata subsp. lyrata Annotation Release 101,206667935,,Scaffold,11/26/16,ADBK01,695
GCA_033239045.1,ASM3323904v1,Fagopyrum esculentum,3617,,,PL4,,,,,1266838060,,Scaffold,6/26/23,BSUD01,3041
GCA_903112645.1,pruArmRojPasHapCUR,Prunus armeniaca,36596,,,Rojo Pasion,,pruArmRojPasFocal,,Annotation submitted by Max Planck Institute Plant Breeding,215952222,,Contig,7/8/20,CAEKDK01,
GCF_000504015.1,Mimgu1_0,Erythranthe guttata,4155,,,IM62,,,,NCBI Erythranthe guttata Annotation Release 100,321641293,,Scaffold,4/2/14,APLE01,2211
GCA_000966675.3,WS77111_v2,Picea glauca,3330,,,,,,,,26571973267,,Scaffold,1/9/20,JZKD02,2445336
GCA_001633085.1,Safflower1,Carthamus tinctorius,4222,,,AC SUNSET,,,,,661937708,,Scaffold,4/27/16,LUCG01,463906
GCA_035048815.1,WUR_AEscu_1,Abelmoschus esculentus,455045,,,Green Star,,,,,1194595883,,Scaffold,1/3/24,JAUCBN01,78
GCF_000478725.1,Eutsalg1_0,Eutrema salsugineum,72664,,,,,,,NCBI Eutrema salsugineum Annotation Release 100,243110105,,Scaffold,11/5/13,ANOA01,638
GCA_027924645.1,CLA_r1.0,Cunninghamia lanceolata,28977,,,GFHN00090,,,,,11548046079,,Contig,12/12/22,BSBN01,
GCA_006176705.1,UPLB_dcnu_1.0,Cocos nucifera,13894,,,Catigan Green Dwarf,Dwarf,,,,2102417611,,Scaffold,6/10/19,QRFJ01,7998
GCF_001995035.1,ASM199503v1,Momordica charantia,3673,,OHB3-1,,,,,NCBI Momordica charantia Annotation Release 100,285613949,,Scaffold,12/26/16,BDCS01,1052
GCA_014162995.1,Aran,Artemisia annua,35608,,,Youqin,,,,,1793396406,,Scaffold,8/11/20,LBNU01,39575
GCA_001517045.1,DougFir1.0,Pseudotsuga menziesii,3357,,,,,Weyco1,,,14673225455,,Scaffold,12/22/15,LPNX01,1236665
GCA_014183005.1,ASM1418300v1,Castanea mollissima,60419,,,N11-1,,,,,688985466,,Scaffold,8/13/20,JACAVU01,112
GCA_001185155.1,Zosma_marina.v.2.1,Zostera marina,29655,,Finnish,,,,,Annotation submitted by JGI-PGF,203913826,,Scaffold,7/22/15,LFYR01,2228
GCA_025388495.1,ASM2538849v1,Curcuma longa,136217,,,,,IRGN IZY15P2D6D,,,581175068,,Scaffold,9/23/22,JAOBBC01,290927
GCF_002906115.3,Cork oak 2.0,Quercus suber,58331,,,,,HL8,,GCF_002906115.3-RS_2024_06,759831951,,Scaffold,4/12/24,PKMF04,2341
GCA_000404065.3,Ptaeda2.0,Pinus taeda,3352,,,,,,,,22103635615,,Scaffold,1/9/17,APFE03,1760464
GCA_030267885.1,Mcrystallinum_1.0,Mesembryanthemum crystallinum,3544,,,,,,,,286008514,,Scaffold,3/7/23,BSSO01,49782
GCA_039654485.1,ASM3965448v1,Withania somnifera,126910,,,,,C7UFLACQNU,,,1983684332,,Scaffold,5/16/24,JBDJHY01,1077956
GCA_032362305.1,ASM3236230v1,Paeonia lactiflora,35924,,,,,IRGN WHO6WPL4A2,,,387856047,,Scaffold,10/4/23,JAUMHK01,477092
GCA_003013225.1,ASM301322v1,Phalaenopsis aphrodite,212056,,,,,PAABRC2031,,,1025096742,,Scaffold,3/21/18,NEWO01,13732
GCF_009805555.1,ASM980555v1,Andrographis paniculata,175694,,,,,CXL003,,NCBI Andrographis paniculata Annotation Release 100,284308021,,Contig,12/27/19,WJEG01,
GCF_005239225.1,ASM523922v1,Populus alba,43335,,,,,PAL-ZL1,,NCBI Populus alba Annotation Release 100,415990855,,Contig,5/8/19,RCHU01,
GCF_000493195.1,Citrus_clementina_v1.0,Citrus x clementina,85681,,,Clemenules,,,,NCBI Citrus clementina Annotation Release 100,301364702,,Scaffold,11/8/13,AMZM01,1398
GCA_001412135.1,ASM141213v1,Silene latifolia subsp. alba,52853,,,K-line,,,female,,665278925,,Scaffold,10/23/15,LHUT01,307720
GCA_947311845.1,Poa_pratensis_v1,Poa pratensis,4545,,,,,,,,6136176143,,Scaffold,12/2/22,CAMZMU01,128
GCA_030407325.1,ASM3040732v1,Camellia japonica,4443,,,naidong,,,,,2803480011,,Scaffold,7/5/23,JAPPVO01,8289
GCF_000375325.1,Caprub1_0,Capsella rubella,81985,,,Monte Gargano,,,,NCBI Capsella rubella Annotation Release 100,133063876,,Scaffold,4/23/13,ANNY01,773
GCA_017589665.1,ASM1758966v1,Selenicereus undatus,176265,,,David Bowie,,Yin-2019,,,1326731138,,Scaffold,3/26/21,JACYFF01,31970
GCA_009936405.2,ASM993640v2,Stevia rebaudiana,55670,,,,,VGN1BUR7E3,,,389853229,,Scaffold,2/9/23,WOUH02,74080
GCA_008808055.3,ASM880805v3,Sporobolus alterniflorus,29706,,,,,RG_29706,,,1522082065,,Scaffold,2/9/23,VSTD03,1383397
GCF_002738365.1,Cmos_1.0,Cucurbita moschata,3662,,,Rifu,,,,NCBI Cucurbita moschata Annotation Release 100,269943085,,Scaffold,10/31/17,NEWM01,3500
GCA_001974825.2,COLO4_1.0,Corchorus olitorius,93759,,,O-4,,,,"Annotation submitted by Basic & Applied Research on Jute Project, Bangladesh Jute Research Institute",334898824,,Contig,1/30/17,AWUE01,
GCF_000495115.2,PopEup_1.0,Populus euphratica,75702,,,,,,,NCBI Populus euphratica Annotation Release 100,494920918,,Scaffold,8/12/14,AOFL01,9501
GCA_002156105.1,ASM215610v1,Passiflora edulis,78168,,,CGPA1,,,,,165656733,,Scaffold,5/22/17,MUZT01,234012
GCA_021397835.1,ASM2139783v1,Moringa oleifera,3735,,,Bhagya,,,,,281915053,,Scaffold,1/10/22,JAJFZO01,915
GCF_000143415.4,v1.0,Selaginella moellendorffii,88036,,,,,,,NCBI Selaginella moellendorffii Annotation Release 100,212315224,,Scaffold,7/6/10,ADFJ01,757
GCF_018835915.1,ASM1883591v1,Vigna umbellata,87088,,,VRB-3 Himshakti,,,,NCBI Vigna umbellata Annotation Release 100,414499397,,Scaffold,6/10/21,SPEB01,15445
GCF_000463585.1,ASM46358v1,Tarenaya hassleriana,28532,,,,,,,NCBI Tarenaya hassleriana Annotation Release 101,249929577,,Scaffold,9/5/13,AOUI01,12249
GCA_026120095.1,Arnaucho_INIA,Capsicum chinense,80379,,,Arnaucho,,,,,3088997921,,Scaffold,11/15/22,JAPEIP01,7136
GCA_000970635.1,ASM97063v1,Eragrostis tef,110835,,,Tsedey (DZ-Cr-37),,,,,607317615,,Scaffold,4/8/15,LAPY01,13883
GCA_004801955.1,ASM480195v1,Calotropis procera,141467,,,,Calotropis,KSA:jeddah,hermaphrodite,,209214572,,Scaffold,4/22/19,LVCA01,20519
GCA_027924585.1,LKA_r1.0,Larix kaempferi,54800,,,GFE32203,,,,,13492429495,,Contig,12/13/22,BSBM01,
GCA_019776075.1,ASM1977607v1,Amaranthus palmeri,107608,,,PI632235,,,male,,388292728,,Contig,8/26/21,JAAKBH01,
GCA_005392925.1,SCBG_Asin_1.0,Aquilaria sinensis,210372,,,,,Y14,,,699794123,,Contig,5/15/19,SMDT01,
GCF_002738345.1,Cmax_1.0,Cucurbita maxima,3661,,,Rimu,,,,NCBI Cucurbita maxima Annotation Release 100,271413401,,Scaffold,10/31/17,NEWN01,8299
GCA_900332095.2,Cuscuta,Cuscuta campestris,132261,,,,,,,Annotation submitted by RWTH Aachen,476794675,,Scaffold,12/16/20,OOIL02,6907
GCA_012979155.1,hypericum.10X.300bp,Hypericum perforatum,65561,,,,,OBUPD-D1,,,352864971,,Scaffold,5/6/20,SOPF01,35445
GCF_000471905.2,AMTR1.0,Amborella trichopoda,13333,,,,,,,NCBI Amborella trichopoda Annotation Release 101,706332640,,Scaffold,9/30/13,AWHE01,5745
GCF_001263595.1,ASM126359v1,Phalaenopsis equestris,78828,,,,,,,NCBI Phalaenopsis equestris Annotation Release 100,1064051384,,Scaffold,8/7/15,APLD01,89583
GCA_010110895.2,Q903_v1,Picea sitchensis,3332,,,,,Q903,,,20455103684,,Scaffold,1/9/20,SNQJ01,1783801
GCA_003991445.1,ASM399144v1,Oryza meyeriana var. granulata,110450,,,,,YNKM20150326,,,776957456,,Contig,1/3/19,RYFJ01,
GCA_028455895.1,ASM2845589v1,Rhodomyrtus tomentosa,98583,,,,,LFSTJN1,,,470350250,,Contig,2/3/23,JAPCWY01,
GCA_033242345.1,ASM3324234v1,Citrus unshiu,55188,,,Miyagawa wase,,,,,388897128,,Scaffold,8/6/23,BTHF01,243
GCA_019593545.1,ASM1959354v1,Apocynum venetum,377125,,,,,,,,271208281,,Contig,8/13/21,SRSM01,
GCA_019925245.2,MQ-UA-ANU_Oaus-KR_2.0,Oryza australiensis,4532,,,,,KR-Keep River_1,,,858859173,,Contig,6/6/22,JAIFGZ02,
GCA_020976635.1,NIFoS_Ccrenata_1.0,Castanea crenata,103480,,,,,Korean National Monument (no. 498),,,764977748,,Scaffold,11/24/21,JAGHPS01,1567
GCA_007115705.1,ASM711570v1,Dactylis glomerata,4509,,,Dgl,,,,,1781320693,,Scaffold,7/17/19,QXEO01,2117
GCA_019454045.1,ZanBun,Zanthoxylum bungeanum,328401,,,Dahongpao,,,,,3979502532,,Scaffold,8/5/21,SKCR01,55307
GCA_007258455.2,SESE.2.2,Sequoia sempervirens,28980,,,,,SESE104,,,26547215135,,Scaffold,6/2/21,VDFB02,393370
GCA_002013955.2,C_medica_denovo_2,Citrus medica,171251,,,XZ,,,,,406057947,,Scaffold,1/24/18,MKYO02,32732
GCF_001605985.2,ASM160598v2,Dendrobium catenatum,906689,,,,,,hermaphrodite,NCBI Dendrobium catenatum Annotation Release 101,1104107363,,Scaffold,12/12/17,JSDN02,286089
GCF_000414095.1,ASM41409v2,Morus notabilis,981085,,,,,,,NCBI Morus notabilis Annotation Release 100,320378613,,Scaffold,8/7/13,ATGF01,31301
GCA_014905375.1,Pjver1,Phtheirospermum japonicum,374723,,okayama,,,,,Annotation submitted by RINEN center for sustainable resource science,1226894857,,Scaffold,10/1/20,BMAC01,10559
GCA_008642245.1,CSU_KoSco_1.0,Bassia scoparia,83154,,,7710,,,,,711356724,,Scaffold,9/23/19,SNQN01,19671
GCA_000418225.1,Zizania_latifolia_v01,Zizania latifolia,58934,,,,,,,,603989347,,Scaffold,7/9/13,ASSH01,4522
GCA_001278415.1,OciTen1.0,Ocimum tenuiflorum,204149,,Krisha,,,,,,332616730,,Contig,9/2/15,AYJT01,
GCA_025330945.1,ASM2533094v1,Mucuna pruriens,157652,,,pruriens,,,,,489816648,,Scaffold,9/20/22,JAENHJ01,546
GCF_001879475.1,Asagao_1.1,Ipomoea nil,35883,,,Tokyo-kokei standard,,,,NCBI Ipomoea nil Annotation Release 100,734803190,,Scaffold,9/1/16,BDFN01,3416
GCA_020883675.1,ASM2088367v1,Bruguiera gymnorhiza,39984,,,,,MMHPHG4072,,,308311803,,Scaffold,11/18/21,JAIRCJ01,1062
GCA_027704765.1,ASM2770476v1,Solanum habrochaites,62890,,,ZY59,,,,,959697974,,Scaffold,1/11/23,JAKWJA01,2500
GCF_008641045.1,PisVer_v2,Pistacia vera,55513,,,Batoury,,,,NCBI Pistacia vera Annotation Release 100,671119336,,Scaffold,9/23/19,VTWI01,1864
GCF_002303985.1,Duzib1.0,Durio zibethinus,66656,,,Musang King,,D1,,NCBI Durio zibethinus Annotation Release 100,715230256,,Scaffold,9/15/17,NSDW01,677
GCA_019722365.1,PUR_Leryth_1.0,Lithospermum erythrorhizon,34254,,,Siebold & Zucc.,,,,Annotation submitted by Purdue University,366684367,,Contig,8/18/21,JADFUC01,
GCA_900184695.1,Bpev01,Betula pendula,3505,,,,,,,,435172141,,Scaffold,5/26/17,FXXK01,5642
GCA_900205405.1,ASM90020540v1,Echinochloa crus-galli,90397,,,,,,,,1486609408,,Scaffold,10/23/17,OAMR01,4534
GCA_029582705.1,chc0917,Solanum chacoense,4108,,,,,CIP760917.1,,,765361945,,Contig,4/4/23,JAJOOP01,
GCA_028571145.1,ASM2857114v1,Dionaea muscipula,4362,,,,,DTXBO2PE4V,,,605730051,,Scaffold,2/9/23,JAOWBR01,234133
GCA_008921755.1,MAQUI01,Aristotelia chilensis,138855,,,maqui01,,,,,96354398,,Scaffold,10/8/19,VEXP01,42602
GCA_002091855.1,Nnimmo_assembly01,Nothapodytes nimmoniana,159386,,,,,,,,1365272,,Contig,4/3/17,BDGC01,
GCA_002897215.1,ECA_r1.0,Eschscholzia californica subsp. californica,222997,,,Hitoezaki,,,,,489064912,,Scaffold,12/28/17,BEHA01,53253
GCA_038485145.1,ASM3848514v1,Hibiscus sabdariffa,183260,,,sabdariffa,Hongkong,TK-2024,,Annotation submitted by KAIST,2361782195,,Contig,4/25/24,JBBPBL01,
GCA_034222035.1,Acra_USDA_v1,Acacia crassicarpa,499986,,,,,Acra3RX,,Annotation submitted by USDA-ARS PGEC,750735455,,Scaffold,12/8/23,JAWXYG01,24
GCA_964019355.1,C195_Genome,Lupinus luteus,3873,,,,,,,Annotation submitted by Centro de Genomica Nutricional Agrocuicola,962978505,,Scaffold,3/29/24,CAXHTB01,111
GCA_029747655.1,EnVent_Maze_1.0,Ensete ventricosum,4639,,,Maze,,MazeRef_0001,,Annotation submitted by Queen Mary University of London,534048781,,Scaffold,4/14/23,JAQQAF01,806
GCA_018398585.1,QK_Jojo_M_Omni-C,Simmondsia chinensis,3999,,,,Middle eastern,Jojobamale2,male,,831537837,,Scaffold,5/19/21,JAGTTD01,41
GCA_030179965.1,Ces_v0.1,Cyperus esculentus,1053340,,,MyKQS,,JYD02,,,296616492,,Scaffold,6/6/23,JASGLE01,1190
GCF_006381635.1,ASM638163v2,Hibiscus syriacus,106335,,,Baekdansim,,YM2019G1,,NCBI Hibiscus syriacus Annotation Release 100,1826769743,,Scaffold,11/18/19,VEPZ02,1788
GCA_016859785.1,MUN_r1.11,Macrotyloma uniflorum,271171,,,HPK4,,,,,294688765,,Scaffold,1/19/21,BDMB01,3497
